company,email,segment,role,city,cluster,hook,source_url,priority,status,round,last_sent,replied
GM,mediaservices@gm.com,oem,ADAS V&V Manager,Detroit,Detroit/Warren,23 个安全关键 CARLA 边缘场景含遥测 CSV 与可复现脚本，可直接挂入贵司 Super Cruise 的 SOTIF 验证流程，覆盖 UN-R157 ALKS 触发条件,https://pressroom.gm.com/content/gmbx/us/en/pressroom/home/contacts.html,HIGH,contacted,1,2026-08-05T12:54:02.399524,
GM,faryl.ury@gm.com,oem,Functional Safety Lead,Detroit,Detroit/Warren,23 个含 ISO 21448 SOTIF 合规标注的边缘场景可加速 Cruise/GM 自动驾驶团队的未知不安全场景（unknown unsafe）识别与论证,https://pressroom.gm.com/content/gmbx/us/en/pressroom/home/contacts.html,HIGH,contacted,1,2026-08-05T12:54:03.048807,
GM,kevin.m.kelly@gm.com,oem,Head of Simulation & Safety Validation,Warren,Detroit/Warren,23 个 CARLA 场景提供可复现脚本与逐帧遥测，便于在 Warren 技术中心搭建回归测试基线，缩短 SOTIF 论证周期,https://pressroom.gm.com/content/gmbx/us/en/pressroom/home/contacts.html,HIGH,contacted,1,2026-08-05T12:54:04.005945,
GM,chaiti.sen@gm.com,oem,Strategic Technology Communications Lead,Detroit,Detroit/Warren,"含 UN-R157 合规标注的 23 个场景包可作为贵司技术传播中""安全验证证据链""的实证素材",https://pressroom.gm.com/content/gmbx/us/en/pressroom/home/contacts.html,MED,contacted,1,2026-08-05T12:54:04.809112,
Ford,media@ford.com,oem,ADAS V&V Manager,Dearborn,Dearborn,BlueCruise 的 SOTIF 验证需要大量边缘触发场景，23 个 CARLA 场景含遥测 CSV 可直接纳入 Ford 的 AV 仿真回归集,https://media.ford.com/content/fordmedia/fna/ca/en/people/sammy-omari.html,HIGH,contacted,1,2026-08-05T12:54:05.534137,
Stellantis,frank.j.matyok@stellantis.com,oem,ADAS V&V Manager,Auburn Hills,Automation Alley,Stellantis 的 L2+/L3 推进需要 UN-R157 合规场景，23 个 CARLA 边缘场景含可复现脚本可直接补充 Auburn Hills 仿真资产,https://media.stellantisnorthamerica.com/cgm-contacts.do,HIGH,contacted,1,2026-08-05T12:54:06.189571,
Stellantis,annmarie.fortunate@stellantis.com,oem,Head of Safety Validation,Auburn Hills,Automation Alley,23 个含 SOTIF 合规标注的场景包可缩短 STLA Autodrive 安全论证文档的编制时间,https://media.stellantisnorthamerica.com/cgm-contacts.do,HIGH,contacted,1,2026-08-05T12:54:06.905646,
Stellantis,communications@stellantis.com,oem,Functional Safety Lead,Auburn Hills,Automation Alley,面向 STLA 平台的多传感器边缘场景库，可直接映射 UN-R157 ALKS 与 ISO 21448 验证项,https://stellantis.com/en/news/media-contacts,MED,contacted,1,2026-08-05T12:54:07.669961,
Stellantis,kaileen.connelly@stellantis.com,oem,Simulation Engineer,Auburn Hills,Automation Alley,23 个 CARLA 可复现脚本支持在 Stellantis 仿真农场做确定性回归，便于复现罕见边缘触发,https://media.stellantisnorthamerica.com/cgm-contacts.do,MED,contacted,1,2026-08-05T12:54:10.230523,
Stellantis,megan.soule@stellantis.com,oem,Technology Communications Manager,Auburn Hills,Automation Alley,含合规标注的场景数据可作为对外安全沟通的可验证证据,https://media.stellantisnorthamerica.com/cgm-contacts.do,MED,contacted,1,2026-08-05T12:54:10.918799,
Stellantis,investor.relations@stellantis.com,oem,VP Functional Safety (IR-facing),Auburn Hills,Automation Alley,可量化的 SOTIF 验证资产有助于向投资人说明 ADAS 安全投入产出,https://stellantis.com/en/news/media-contacts,MED,contacted,1,2026-08-05T12:54:11.625991,
Magna,louis.tonelli@magna.com,tier1,ADAS V&V Manager,Troy,Automation Alley,Magna 的 BlueCity 与驾驶辅助系统需要边缘场景库，23 个含遥测的 CARLA 场景可直接进 Troy 仿真流水线,https://www.nasdaq.com/press-release/magna-announces-strong-second-quarter-results-raises-outlook-2026-2026-07-31-0,HIGH,contacted,1,2026-08-05T12:54:12.190663,
Magna,tracy.fuerst@magna.com,tier1,Functional Safety Lead,Troy,Automation Alley,23 个 ISO 21448 标注场景可支撑 Magna 域控制器功能安全案例的 SOTIF 论证,https://magna.com/stories/news-press-release/2025/magna-to-showcase-its-vision-for-safer--smarter--greener-mobility-at-iaa-mobility-2025,HIGH,contacted,1,2026-08-05T12:54:13.011555,
